,Unnamed: 0,winner,loser,weight class,method,win_round,win time,winner age,loser age,winner_wins,winner loses,loser wins,loser loses,winner height,loser height,winner reach,loser reach,winner leg reach,loser leg reach,Event name,date,method category,weight class category
0,0,Ketlen Vieira,Holly Holm,women's bantamweight,decision,5.0,300,30.0,40.0,12,2,14,5,68.0,68.0,68.0,69.0,39.5,38.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,9
1,1,Michel Pereira,Santiago Ponzinibbio,welterweight,decision,3.0,300,28.0,35.0,27,11,28,5,73.0,72.0,73.0,73.0,42.0,40.5,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,8
2,2,Chidi Njokuani,Duško Todorović,middleweight,ko,1.0,288,33.0,28.0,21,7,11,2,75.0,73.0,80.0,74.0,45.0,41.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",3,7
3,3,Tabatha Ricci,Polyana Viana,women's strawweight,decision,3.0,300,27.0,29.0,6,1,12,4,61.0,65.0,61.0,67.0,36.0,38.5,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,12
4,4,Park Jun-yong,Eryk Anders,middleweight,decision,3.0,300,29.0,35.0,13,5,14,6,71.0,73.0,72.0,75.0,40.0,43.5,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,7
5,5,Uroš Medić,Omar Morales,lightweight,tko,2.0,185,29.0,36.0,7,1,11,2,73.0,71.0,71.0,73.0,43.0,42.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",8,6
6,6,Jonathan Martinez,Vince Morales,bantamweight,decision,3.0,300,28.0,31.0,15,4,11,5,68.0,67.0,70.0,70.0,37.5,36.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,0
7,7,Chase Hooper,Felipe Colares,featherweight,tko,3.0,180,22.0,28.0,10,2,10,3,73.0,68.0,74.0,69.5,41.0,39.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",8,2
8,8,Sam Hughes,Elise Reed,women's strawweight,tko,3.0,232,29.0,29.0,6,4,5,1,65.0,63.0,64.0,63.0,36.0,36.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",8,12
9,9,Jan Błachowicz,Aleksandar Rakić,light heavyweight,tko,3.0,71,29.0,30.0,28,9,14,2,71.0,76.0,72.0,78.0,40.0,46.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",8,5
10,10,Ryan Spann,Ion Cuțelaba,light heavyweight,submission,1.0,142,30.0,28.0,19,7,16,6,77.0,73.0,79.0,75.0,45.5,41.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",7,5
11,11,Davey Grant,Louis Smolka,bantamweight,ko,3.0,49,36.0,30.0,13,6,17,8,68.0,69.0,69.0,68.5,40.0,37.5,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",3,0
12,12,Katlyn Chookagian,Amanda Ribas,women's flyweight,decision,3.0,300,33.0,28.0,17,4,11,2,69.0,64.0,68.0,66.0,42.0,37.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",0,11
13,13,Viviane Araújo,Andrea Lee,women's flyweight,decision,3.0,300,35.0,33.0,10,3,13,5,64.0,66.0,68.0,69.5,36.5,37.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",0,11
14,14,Michael Johnson,Alan Patrick,lightweight,ko,2.0,202,35.0,38.0,19,17,15,3,70.0,70.0,73.5,74.0,41.0,42.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",3,6
15,15,Virna Jandiroba,Angela Hill,women's strawweight,decision,3.0,300,33.0,37.0,17,3,13,11,63.0,63.0,64.0,64.5,37.0,38.5,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",0,12
16,16,Andre Petroski,Nick Maximov,middleweight,submission,1.0,76,30.0,24.0,7,1,8,0,72.0,72.0,73.0,76.0,39.0,42.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",7,7
17,17,Charles Oliveira,Justin Gaethje,lightweight,submission,1.0,202,32.0,33.0,32,8,23,3,70.0,71.0,74.0,70.0,41.0,40.0,UFC 274,"May 7, 2022",7,6
18,18,Carla Esparza,Rose Namajunas (c),women's strawweight,decision,5.0,300,34.0,30.0,18,6,11,4,61.0,72.0,63.0,72.0,35.0,40.0,UFC 274,"May 7, 2022",0,12
19,19,Michael Chandler,Tony Ferguson,lightweight,ko,2.0,17,36.0,38.0,22,7,25,6,68.0,71.0,71.5,76.5,37.5,40.5,UFC 274,"May 7, 2022",3,6
20,20,Ovince Saint Preux,Maurício Rua,light heavyweight,decision,3.0,300,39.0,40.0,25,16,27,12,75.0,73.0,80.0,76.0,45.0,40.5,UFC 274,"May 7, 2022",0,5
21,21,Randy Brown,Khaos Williams,welterweight,decision,3.0,300,31.0,28.0,14,4,13,2,75.0,72.0,78.0,77.0,45.5,41.0,UFC 274,"May 7, 2022",0,8
22,22,Francisco Trinaldo,Danny Roberts,welterweight,decision,3.0,300,43.0,34.0,27,8,18,5,69.0,73.0,70.0,74.0,40.5,42.0,UFC 274,"May 7, 2022",0,8
23,23,Macy Chiasson,Norma Dumont,catchweight,decision,3.0,300,30.0,31.0,7,2,7,1,71.0,67.0,72.0,67.0,42.0,38.5,UFC 274,"May 7, 2022",0,1
24,24,Brandon Royval,Matt Schnell,flyweight,submission,1.0,134,29.0,32.0,13,6,15,5,69.0,68.0,68.0,70.0,38.5,38.0,UFC 274,"May 7, 2022",7,3
25,25,Blagoy Ivanov,Marcos Rogério de Lima,heavyweight,decision,3.0,300,35.0,36.0,18,4,19,7,71.0,73.0,73.0,75.0,42.0,43.0,UFC 274,"May 7, 2022",0,4
26,26,Tracy Cortez,Melissa Gatto,women's flyweight,decision,3.0,300,28.0,26.0,9,1,8,0,65.0,65.0,65.5,69.0,38.5,38.0,UFC 274,"May 7, 2022",0,11
27,27,Lupita Godinez,Ariane Carnelossi,women's strawweight,decision,3.0,300,28.0,29.0,7,2,14,2,62.0,62.0,61.0,61.5,35.0,35.0,UFC 274,"May 7, 2022",0,12
28,28,Marlon Vera,Rob Font,catchweight,decision,5.0,300,29.0,34.0,18,7,19,5,68.0,68.0,70.5,71.5,40.5,38.5,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,1
29,29,Andrei Arlovski,Jake Collier,heavyweight,decision,3.0,300,43.0,33.0,33,20,13,6,75.0,75.0,77.0,78.5,44.0,43.5,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,4
30,30,Grant Dawson,Jared Gordon,lightweight,submission,3.0,251,28.0,33.0,17,1,18,4,70.0,69.0,72.0,68.0,40.0,38.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",7,6
31,31,Darren Elkins,Tristan Connelly,featherweight,decision,3.0,300,37.0,36.0,26,10,14,7,70.0,70.0,71.0,68.0,39.0,41.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,2
32,32,Krzysztof Jotko,Gerald Meerschaert,middleweight,decision,3.0,300,32.0,34.0,23,5,34,14,73.0,73.0,77.0,77.5,41.0,40.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,7
33,33,Alexander Romanov,Chase Sherman,heavyweight,submission,1.0,131,31.0,32.0,15,0,15,9,74.0,76.0,75.0,78.0,43.0,43.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",7,4
34,34,Shanna Young,Gina Mazany,women's flyweight,tko,2.0,191,31.0,33.0,7,4,7,5,67.0,66.0,65.0,68.5,39.0,38.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",8,11
35,35,Jéssica Andrade,Amanda Lemos,women's strawweight,submission,1.0,193,30.0,34.0,22,9,11,1,61.5,64.0,62.0,65.0,35.0,36.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,12
36,36,Claudio Puelles,Clay Guida,lightweight,submission,1.0,181,26.0,40.0,11,2,37,21,70.0,67.0,72.0,70.0,40.0,38.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,6
37,37,Maycee Barber,Montana De La Rosa,women's flyweight,decision,3.0,300,23.0,27.0,9,2,12,6,65.0,67.0,65.0,68.0,38.0,37.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",0,11
38,38,Charles Jourdain,Lando Vannata,featherweight,submission,1.0,152,26.0,30.0,12,4,12,5,69.0,69.0,69.0,71.0,39.0,39.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,2
39,39,Marc-André Barriault,Jordan Wright,catchweight,submission,1.0,156,32.0,30.0,13,5,12,2,73.0,74.0,74.0,77.0,42.5,41.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,1
40,40,Sergey Khandozhko,Dwight Grant,welterweight,tko,2.0,255,29.0,37.0,26,6,11,4,73.0,73.0,74.0,76.0,40.0,44.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",8,8
41,41,Tyson Pedro,Ike Villanueva,light heavyweight,ko,1.0,295,30.0,30.0,7,3,18,13,75.0,72.0,79.0,72.0,43.5,40.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",3,5
