,winner,loser,weight class,method,win_round,win time,winner age,loser age,winner_wins,winner loses,loser wins,loser loses,winner height,loser height,winner reach,loser reach,winner leg reach,loser leg reach,Event name,date
0,Ketlen Vieira,Holly Holm,Women's Bantamweight,"Decision (split) (47–48, 48–47, 48–47)",5,5:00,30,40,12,2,14,5,68.00,68.00,68.00,69.00,39.50,38.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
1,Michel Pereira,Santiago Ponzinibbio,Welterweight,"Decision (split) (28–29, 30–27, 29–28)",3,5:00,28,35,27,11,28,5,73.00,72.00,73.00,73.00,42.00,40.50,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
2,Chidi Njokuani,Duško Todorović,Middleweight,KO (elbow),1,4:48,33,28,21,7,11,2,75.00,73.00,80.00,74.00,45.00,41.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
3,Tabatha Ricci,Polyana Viana,Women's Strawweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,27,29,6,1,12,4,61.00,65.00,61.00,67.00,36.00,38.50,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
4,Park Jun-yong,Eryk Anders,Middleweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,0,35,13,5,14,6,0,73.00,0,75.00,0,43.50,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
5,Uroš Medić,Omar Morales,Lightweight,TKO (punches),2,3:05,29,36,7,1,11,2,73.00,71.00,71.00,73.00,43.00,42.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
6,Jonathan Martinez,Vince Morales,Bantamweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,28,31,15,4,11,5,68.00,67.00,70.00,70.00,37.50,36.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
7,Chase Hooper,Felipe Colares,Featherweight,TKO (punches),3,3:00,22,28,10,2,10,3,73.00,68.00,74.00,69.50,41.00,39.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
8,Sam Hughes,Elise Reed,Women's Strawweight,TKO (elbow and punches),3,3:52,29,29,6,4,5,1,65.00,63.00,64.00,63.00,36.00,36.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
9,Jan Błachowicz,Aleksandar Rakić,Light Heavyweight,TKO (knee injury),3,1:11,0,30,28,9,14,2,0,76.00,0,78.00,0,46.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
10,Ryan Spann,Ion Cuțelaba,Light Heavyweight,Submission (guillotine choke),1,2:22,30,28,19,7,16,6,77.00,73.00,79.00,75.00,45.50,41.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
11,Davey Grant,Louis Smolka,Bantamweight,KO (punches),3,0:49,36,30,13,6,17,8,68.00,69.00,69.00,68.50,40.00,37.50,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
12,Katlyn Chookagian,Amanda Ribas,Women's Flyweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,33,28,17,4,11,2,69.00,64.00,68.00,66.00,42.00,37.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
13,Viviane Araújo,Andrea Lee,Women's Flyweight,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00,35,33,10,3,13,5,64.00,66.00,68.00,69.50,36.50,37.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
14,Michael Johnson,Alan Patrick,Lightweight,KO (punches),2,3:22,35,38,19,17,15,3,70.00,70.00,73.50,74.00,41.00,42.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
15,Virna Jandiroba,Angela Hill,Women's Strawweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,33,37,17,3,13,11,63.00,63.00,64.00,64.50,37.00,38.50,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
16,Andre Petroski,Nick Maximov,Middleweight,Technical Submission (anaconda choke),1,1:16,30,24,7,1,8,0,72.00,72.00,73.00,76.00,39.00,42.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
17,Charles Oliveira,Justin Gaethje,Lightweight,Submission (rear-naked choke),1,3:22,32,33,32,8,23,3,70.00,71.00,74.00,70.00,41.00,40.00,UFC 274,"May 7, 2022"
18,Carla Esparza,Rose Namajunas (c),Women's Strawweight,"Decision (split) (47–48, 49–46, 48–47)",5,5:00,34,0,18,6,11,4,61.00,0,63.00,0,35.00,0,UFC 274,"May 7, 2022"
19,Michael Chandler,Tony Ferguson,Lightweight,KO (front kick),2,0:17,36,38,22,7,25,6,68.00,71.00,71.50,76.50,37.50,40.50,UFC 274,"May 7, 2022"
20,Ovince Saint Preux,Maurício Rua,Light Heavyweight,"Decision (split) (28–29, 29–28, 30–27)",3,5:00,39,40,25,16,27,12,75.00,73.00,80.00,76.00,45.00,40.50,UFC 274,"May 7, 2022"
21,Randy Brown,Khaos Williams,Welterweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,31,28,14,4,13,2,75.00,72.00,78.00,77.00,45.50,41.00,UFC 274,"May 7, 2022"
22,Francisco Trinaldo,Danny Roberts,Welterweight,"Decision (unanimous) (29–28, 30–27, 30–26)",3,5:00,43,34,27,8,18,5,69.00,73.00,70.00,74.00,40.50,42.00,UFC 274,"May 7, 2022"
23,Macy Chiasson,Norma Dumont,Catchweight (146.5 lb),"Decision (split) (30–27, 28–29, 30–27)",3,5:00,30,31,7,2,7,1,71.00,67.00,72.00,67.00,42.00,38.50,UFC 274,"May 7, 2022"
24,Brandon Royval,Matt Schnell,Flyweight,Submission (guillotine choke),1,2:14,29,32,13,6,15,5,69.00,68.00,68.00,70.00,38.50,38.00,UFC 274,"May 7, 2022"
25,Blagoy Ivanov,Marcos Rogério de Lima,Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,35,36,18,4,19,7,71.00,73.00,73.00,75.00,42.00,43.00,UFC 274,"May 7, 2022"
26,Tracy Cortez,Melissa Gatto,Women's Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,28,26,9,1,8,0,65.00,65.00,65.50,69.00,38.50,38.00,UFC 274,"May 7, 2022"
27,Lupita Godinez,Ariane Carnelossi,Women's Strawweight,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,28,29,7,2,14,2,62.00,62.00,61.00,61.50,35.00,35.00,UFC 274,"May 7, 2022"
28,Marlon Vera,Rob Font,Catchweight (138.5 lb),"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00,29,34,18,7,19,5,68.00,68.00,70.50,71.50,40.50,38.50,UFC on ESPN: Font vs. Vera,"April 30, 2022"
29,Andrei Arlovski,Jake Collier,Heavyweight,"Decision (split) (27–30, 29–28, 29–28)",3,5:00,43,33,33,20,13,6,75.00,75.00,77.00,78.50,44.00,43.50,UFC on ESPN: Font vs. Vera,"April 30, 2022"
30,Grant Dawson,Jared Gordon,Lightweight,Submission (rear-naked choke),3,4:11,28,33,17,1,18,4,70.00,69.00,72.00,68.00,40.00,38.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
31,Darren Elkins,Tristan Connelly,Featherweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,37,36,26,10,14,7,70.00,70.00,71.00,68.00,39.00,41.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
32,Krzysztof Jotko,Gerald Meerschaert,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,32,34,23,5,34,14,73.00,73.00,77.00,77.50,41.00,40.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
33,Alexander Romanov,Chase Sherman,Heavyweight,Submission (americana),1,2:11,31,32,15,0,15,9,74.00,76.00,75.00,78.00,43.00,43.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
34,Shanna Young,Gina Mazany,Women's Flyweight,TKO (punches),2,3:11,31,33,7,4,7,5,67.00,66.00,65.00,68.50,39.00,38.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
35,Jéssica Andrade,Amanda Lemos,Women's Strawweight,Submission (standing arm-triangle choke),1,3:13,30,34,22,9,11,1,61.50,64.00,62.00,65.00,35.00,36.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
36,Claudio Puelles,Clay Guida,Lightweight,Submission (kneebar),1,3:01,26,40,11,2,37,21,70.00,67.00,72.00,70.00,40.00,38.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
37,Maycee Barber,Montana De La Rosa,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,23,27,9,2,12,6,65.00,67.00,65.00,68.00,38.00,37.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
38,Charles Jourdain,Lando Vannata,Featherweight,Submission (guillotine choke),1,2:32,26,30,12,4,12,5,69.00,69.00,69.00,71.00,39.00,39.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
39,Marc-André Barriault,Jordan Wright,Catchweight (190 lb),Submission (guillotine choke),1,2:36,32,30,13,5,12,2,73.00,74.00,74.00,77.00,42.50,41.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
40,Sergey Khandozhko,Dwight Grant,Welterweight,TKO (punches),2,4:15,29,37,26,6,11,4,73.00,73.00,74.00,76.00,40.00,44.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
41,Tyson Pedro,Ike Villanueva,Light Heavyweight,KO (leg kick and punches),1,4:55,30,0,7,3,18,13,75.00,0,79.00,0,43.50,0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
42,Philipe Lins,Marcin Prachnio,Light Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,36,33,14,5,15,5,74.00,75.00,78.00,74.00,42.50,42.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
43,Belal Muhammad,Vicente Luque,Welterweight,"Decision (unanimous) (49–46, 49–46, 48–47)",5,5:00,33,30,20,3,21,7,71.00,71.00,72.00,75.50,40.00,38.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
44,André Fialho,Miguel Baeza,Welterweight,TKO (punches),1,4:39,28,29,14,4,10,2,72.00,74.00,74.00,74.50,41.00,41.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
45,Mayra Bueno Silva,Wu Yanan,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,30,26,7,2,12,4,66.00,68.00,66.50,66.00,39.00,39.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
46,Devin Clark,William Knight,Heavyweight,TKO (punches),3,3:21,32,34,12,6,11,3,72.00,70.00,75.00,73.00,41.00,40.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
47,Pannie Kianzad,Lina Länsberg,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,30,40,15,6,10,5,67.00,67.00,68.00,65.50,39.00,39.50,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
48,Rafa García,Jesse Ronson,Lightweight,Submission (rear-naked choke),2,4:50,27,37,13,2,21,10,67.00,70.00,70.00,70.00,37.00,39.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
49,Alateng Heili,Kevin Croom,Bantamweight,TKO (punches),1,0:47,0,34,14,8,21,14,0,71.00,0,73.50,0,39.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
